741,727
625,787
77,265
148,963
743,658
851,519
772,556
571,566
27,505
666,94
674,996
401,703
270,366
557,403
164,333
71,389
306,969
183,682
15,170
385,951
854,550
992,606
849,625
219,986
102,4
95,654
252,674
611,696
691,662
524,451
752,757
577,145
699,390
913,245
886,508
217,395
996,220
129,484
732,81
494,57
924,305
834,973
258,384
134,103
39,564
482,202
285,568
747,40
372,212
275,258
561,244
391,536
202,861
715,29
219,264
507,5
842,307
533,415
479,88
218,731
492,623
975,89
668,199
360,640
163,695
384,571
969,158
743,390
706,432
529,887
564,704
60,304
487,62
512,262
555,617
982,481
642,561
585,368
445,555
45,332
944,637
581,935
287,749
999,165
908,479
153,836
830,973
900,62
20,821
701,757
934,538
67,497
594,326
773,960
356,674
261,683
558,690
442,829
448,137
724,12
541,729
786,86
282,46
399,774
905,919
280,87
574,82
183,566
349,531
994,333
880,87
578,695
720,897
686,664
210,629
683,15
243,761
658,207
427,152
291,202
989,656
902,111
685,776
940,814
420,807
615,2
664,264
129,774
689,205
472,686
860,661
590,370
34,477
872,431
706,340
575,494
460,995
448,546
665,606
205,120
441,301
251,781
626,954
97,240
471,810
580,636
829,334
238,101
323,596
945,95
659,523
661,965
652,331
844,234
513,498
20,157
794,357
985,174
185,961
792,91
632,29
870,513
244,484
500,122
576,254
957,499
909,688
305,82
965,268
957,425
745,19
955,922
506,707
698,680
143,638
863,668
451,694
661,817
537,510
684,431
152,330
269,780
378,996
84,30
80,397
157,920
281,716
778,33
350,940
490,773
457,264
562,192
322,682
540,88
590,205
861,45
736,193
137,514
23,704
378,195
572,909
231,841
740,339
841,553
139,716
180,969
45,914
415,837
624,830
152,939
9,961
753,698
400,59
53,712
272,53
462,277
16,182
105,679
727,820
66,317
391,172
235,718
888,769
475,219
556,100
590,305
489,979
609,480
590,618
801,445
230,47
196,967
647,769
405,679
680,454
959,4
802,974
813,275
465,793
167,934
841,476
881,450
547,199
44,628
949,936
819,732
191,402
196,991
467,597
304,598
89,477
777,620
633,637
771,958
469,280
647,26
943,161
601,162
771,969
67,46
210,398
805,658
872,973
962,879
665,853
954,38
557,712
137,193
953,312
343,290
359,509
507,55
939,775
783,299
403,58
524,276
396,671
430,464
390,897
66,182
312,348
636,598
625,370
416,72
496,762
99,626
277,428
878,5
418,839
104,570
205,543
671,155
661,861
290,479
294,609
549,769
132,22
960,440
663,832
47,714
415,43
907,888
97,661
803,864
359,259
987,231
600,746
723,603
537,979
457,137
510,760
441,936
480,303
754,863
933,700
488,624
756,891
945,672
23,518
976,453
547,723
649,378
238,738
504,531
349,326
978,767
755,694
332,362
412,106
701,184
878,740
352,88
34,928
888,450
745,548
526,705
912,290
308,611
366,677
232,714
655,65
29,937
635,176
220,15
158,847
579,517
539,451
954,134
45,728
723,338
965,657
74,461
123,825
893,389
856,87
523,181
525,262
384,929
657,39
496,173
578,771
704,552
206,608
989,139
454,856
270,995
50,804
48,720
241,845
264,46
766,750
654,267
64,82
320,996
164,685
500,601
733,85
947,927
179,750
527,184
73,463
604,479
546,339
524,535
908,204
783,772
766,998
840,230
270,801
789,860
676,666
127,90
208,615
717,454
326,431
500,239
739,222
839,432
199,250
369,727
546,691
674,337
382,532
72,658
952,882
837,639
340,963
414,438
274,599
332,367
470,306
224,712
190,669
600,935
273,469
61,192
649,751
594,615
136,824
632,654
652,130
538,902
434,84
803,652
194,785
81,650
526,854
183,511
297,751
988,629
971,478
248,410
793,978
518,82
309,651
895,126
512,163
253,809
909,288
83,103
889,437
987,290
496,571
812,429
790,870
717,990
114,286
800,846
285,909
370,912
416,583
829,68
165,81
689,88
537,714
447,486
341,686
152,408
389,532
49,795
295,942
966,560
382,353
901,447
844,71
491,691
283,635
580,352
31,402
878,630
541,876
834,251
664,217
51,245
